Category,ExplodedSiteRange,WHOCode,Rollup,Rollup2,SiteRange,HistologyExplode
Lip,0,20010,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Lip,1,20010,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Lip,2,20010,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Lip,3,20010,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Lip,4,20010,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Lip,5,20010,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Lip,6,20010,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Lip,7,20010,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Lip,8,20010,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Lip,9,20010,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Tongue,19,20020,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Tongue,20,20020,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Tongue,21,20020,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Tongue,22,20020,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Tongue,23,20020,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Tongue,24,20020,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Tongue,25,20020,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Tongue,26,20020,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Tongue,27,20020,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Tongue,28,20020,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Tongue,29,20020,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Salivary Gland,79,20030,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Salivary Gland,80,20030,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Salivary Gland,81,20030,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Salivary Gland,82,20030,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Salivary Gland,83,20030,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Salivary Gland,84,20030,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Salivary Gland,85,20030,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Salivary Gland,86,20030,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Salivary Gland,87,20030,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Salivary Gland,88,20030,Oral cavity and pharynx,Oral cavity and pharynx,null,null
Salivary Gland,89,20030,Oral cavity and pharynx,Oral cavity and pharynx,null,null
