standard_concept_id,source_code,concept_name,concept_type,domain_id,vocabulary_id
2744238,0BT44ZZ,"Resection of Right Upper Lobe Bronchus, Percutaneous Endoscopic Approach",surgery,Procedure,ICD10PCS
2722725,00BC0ZZ,"Excision of Cerebellum, Open Approach",surgery,Procedure,ICD10PCS
1718763,955102104,4 ML docetaxel 20 MG/ML Injection,chemo,Drug,NDC
46275603,66758004008,10 ML methotrexate 25 MG/ML Injection,chemo,Drug,NDC
1378385,J9265,"Injection, paclitaxel, 30 mg (Deprecated)",chemo,Drug,HCPCS
40224814,9006406,medroxyprogesterone acetate 2.5 MG Oral Tablet [Provera],chemo,Drug,NDC
44782150,G9030,CHEMO ASSESS FOR FATIGUE L2 (Deprecated),chemo,Observation,HCPCS
2746522,0DB20ZX,"Excision of Middle Esophagus, Open Approach, Diagnostic",surgery,Procedure,ICD10PCS
1378385,67457043451,paclitaxel 6 MG/ML Injectable Solution,chemo,Drug,NDC
2750469,0FB00ZZ,"Excision of Liver, Open Approach",surgery,Procedure,ICD10PCS
19022830,16729003415,letrozole 2.5 MG Oral Tablet,chemo,Drug,NDC
19023529,54868414303,capecitabine 150 MG Oral Tablet [Xeloda],chemo,Drug,NDC
40173288,78064881,Octreotide 30 MG Injection [Sandostatin],chemo,Drug,NDC
1378385,67457047152,paclitaxel 6 MG/ML Injectable Solution,chemo,Drug,NDC
35605627,J9140,"Dacarbazine, 200 mg (Deprecated)",chemo,Drug,HCPCS
1388799,81063225,Leucovorin 25 MG Oral Tablet,chemo,Drug,NDC
2103020,21015,"Radical resection of tumor (eg, sarcoma), soft tissue of face or scalp; less than 2 cm",surgery,Procedure,CPT4
2103020,21015,"Radical resection of tumor (eg, sarcoma), soft tissue of face or scalp; less than 2 cm",radiation,Procedure,CPT4
40757106,21552,"Excision, tumor, soft tissue of neck or anterior thorax, subcutaneous; 3 cm or greater",surgery,Procedure,CPT4
42735432,17305,"Chemosurgery (Mohs micrographic technique), including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and complete histopathologic ... (Deprecated)",surgery,Procedure,CPT4
19125747,93763941,temozolomide 180 MG Oral Capsule,chemo,Drug,NDC
40218540,C1707,"Needle, brachytherapy, varisource interstitial implant needle (Deprecated)",radiation,Device,HCPCS
40172832,703410068,{2 (Ifosfamide 50 MG/ML Injectable Solution) / 6 (Mesna 100 MG/ML Injectable Solution) } Pack,chemo,Drug,NDC
35604082,63323017530,oxaliplatin 50 MG Injection,chemo,Drug,NDC
955632,63370009515,FLUOROURACIL POWDER,chemo,Drug,NDC
35606516,10019094210,cyclophosphamide 2000 MG Injection,chemo,Drug,NDC
35606514,10019093601,cyclophosphamide 1000 MG Injection,chemo,Drug,NDC
40224805,703680101,1 ML medroxyprogesterone acetate 150 MG/ML Injection,chemo,Drug,NDC
1388800,781122001,Leucovorin 5 MG Oral Tablet,chemo,Drug,NDC
2751081,0HBT3ZZ,"Excision of Right Breast, Percutaneous Approach",surgery,Procedure,ICD10PCS
1390063,54868112602,Chlorambucil 2 MG Oral Tablet [Leukeran],chemo,Drug,NDC
40224789,49727038802,medroxyprogesterone acetate 10 MG Oral Tablet,chemo,Drug,NDC
2776776,0TTB4ZZ,"Resection of Bladder, Percutaneous Endoscopic Approach",surgery,Procedure,ICD10PCS
1311445,67386081155,Dactinomycin 0.5 MG/ML Injectable Solution [Cosmegen],chemo,Drug,NDC
46275610,67457048599,8 ML methotrexate 25 MG/ML Injection,chemo,Drug,NDC
40224789,63100742,medroxyprogesterone acetate 10 MG Oral Tablet,chemo,Drug,NDC
2746743,0DB43ZZ,"Excision of Esophagogastric Junction, Percutaneous Approach",surgery,Procedure,ICD10PCS
19129302,85129702,0.5 ML peginterferon alfa-2b 0.24 MG/ML Pen Injector [Pegintron],chemo,Drug,NDC
35604082,25021021120,oxaliplatin 50 MG Injection,chemo,Drug,NDC
1341176,93759957,temozolomide 5 MG Oral Capsule,chemo,Drug,NDC
19007332,603449921,Methotrexate 2.5 MG Oral Tablet,chemo,Drug,NDC
19023529,54868414301,capecitabine 150 MG Oral Tablet [Xeloda],chemo,Drug,NDC
40243759,58406051101,Doxorubicin 2 MG/ML Injectable Solution [Rubex],chemo,Drug,NDC
1436681,310060430,Tamoxifen 20 MG Oral Tablet [Nolvadex],chemo,Drug,NDC
1398400,9766304,exemestane 25 MG Oral Tablet [Aromasin],chemo,Drug,NDC
35605605,J9065,"Injection, cladribine, per 1 mg",chemo,Drug,HCPCS
1593011,469352010,Vincristine Sulfate 1 MG/ML Injectable Solution,chemo,Drug,NDC
40757073,27043,"Excision, tumor, soft tissue of pelvis and hip area, subcutaneous; 3 cm or greater",surgery,Procedure,CPT4
40480519,G0174,"Intensity modulated radiation therapy plan, per session (Deprecated)",radiation,Procedure,HCPCS
46275609,63323012104,4 ML methotrexate 25 MG/ML Injection,chemo,Drug,NDC
40224723,25021022201,docetaxel 20 MG/ML Injectable Solution,chemo,Drug,NDC
1522990,781916575,Octreotide 0.2 MG/ML Injectable Solution,chemo,Drug,NDC
